Name|Brewery|Style|Rating
Imperial Strawberry|Ciderboys Hard Cider|Cider - Applewine|4.01 in 2024
Deep State Vanilla Porter|Rebellion Brewing Company|Porter - American|4.01 in 2024
The Old Girl’s Sticky Buns|Duesterbeck’s Brewing Company|Stout - Oatmeal|4.01 in 2024
Birra Di Pane Forte|Giant Jones Brewing Company|Historical Beer - Other|4.01 in 2024
Birra Di Pane Forte|Giant Jones Brewing Company|Historical Beer - Other|4.01 in 2024
Gloe|Supermoon Beer Company|Farmhouse Ale - Saison|4.01 in 2024
Bananas Foster Job|Fifth Ward Brewing Company|Stout - Imperial / Double Oatmeal|4.01 in 2024
Where the Dark Wind Whirls|Sway Brewing + Blending|Lager - Dark|4.01 in 2024
Where You’re At|Supermoon Beer Company|Farmhouse Ale - Bière de Garde|4.01 in 2024
You Macchiato My Dreams Come True|MobCraft Beer|Stout - Coffee|4 in 2024
Oatmeal Cream Pie|Ahnapee Brewery|Other|4 in 2024
Westie Is My Bestie|District 1 Brewing Company|IPA - American|4 in 2024
Peaches, Simply (Blend I)|Black Rose Blending Co.|Wild Ale - American|4 in 2024
Peaches, Simply (Blend I)|Black Rose Blending Co.|Wild Ale - American|4 in 2024
Maple Bourbon Barrel Aged Honees Honees|Oliphant Brewing|Blonde / Golden Ale - Other|4 in 2024
Rayons Ago|Supermoon Beer Company|Pale Ale - Belgian|4 in 2024
Doc’s Bourbon Old-Fashioned 24|Raised Grain Brewing Company|Red Ale - Imperial / Double|4 in 2024
Smokin’ Nannerz|Working Draft Beer Company|Wheat Beer - Other|4 in 2024
Elephant Walk Belgian Tripel|AL. Ringling Brewing Co.|Belgian Tripel|3.99 in 2024
Up the Hatters|Perspective Brewing Company|Porter - Baltic|3.99 in 2024
Nutty Bill’s Peanut Butter Porter|Duesterbeck’s Brewing Company|Porter - Other|3.99 in 2024
Maori Tiger|Hop Yard Ale Works|IPA - New Zealand|3.99 in 2024
Maori Tiger|Hop Yard Ale Works|IPA - New Zealand|3.99 in 2024
Bitter Turtle Face|1840 Brewing Company|Pale Ale - American|3.99 in 2024
Wurkvar|Working Draft Beer Company|Pilsner - Czech / Bohemian|3.99 in 2024
Klosterade|Working Draft Beer Company|Bock - Doppelbock|3.99 in 2024
Duluth Coffee Pale Ale|Earth Rider Brewery|Pale Ale - American|3.98 in 2024
Councils Draught Amber|Hop Yard Ale Works|Red Ale - American Amber / Red|3.98 in 2024
Big Jim Bourbon Brown|Hillsboro Brewing Company|Brown Ale - Other|3.98 in 2024
O’Zapft Is|District 1 Brewing Company|Festbier|3.98 in 2024
DDH Everything Eventually Nelson Sauvin|Hacienda Beer Co.|Pale Ale - New England / Hazy|3.98 in 2024
Councils Draught Amber|Hop Yard Ale Works|Red Ale - American Amber / Red|3.98 in 2024
Black Top (2024)|New Glarus Brewing Company|IPA - Black / Cascadian Dark Ale|3.97 in 2024
DDH Everything Eventually Motueka|Hacienda Beer Co.|Pale Ale - New England / Hazy|3.97 in 2024
Outshined|Up North Brewing Company|IPA - Black / Cascadian Dark Ale|3.97 in 2024
Honeysuckle French Toast|Hidden Cave Cidery|Cider - Herbed / Spiced / Hopped|3.97 in 2024
It’s the Fluorescents|1840 Brewing Company|IPA - Sour|3.97 in 2024
Oktoberfest|Hop Yard Ale Works|Märzen|3.97 in 2024
A Woman’s Place Is In the Brewhouse|Working Draft Beer Company|IPA - White / Wheat|3.97 in 2024
West Bend Dark|1840 Brewing Company|Lager - Dark|3.97 in 2024
Outshined|Up North Brewing Company|IPA - Black / Cascadian Dark Ale|3.97 in 2024
Honeysuckle French Toast|Hidden Cave Cidery|Cider - Herbed / Spiced / Hopped|3.97 in 2024
It’s the Fluorescents|1840 Brewing Company|IPA - Sour|3.97 in 2024
Stump Rat|608 Brewing Company|Lager - Dark|3.96 in 2024
Gobias|Oliphant Brewing|Stout - Coffee|3.96 in 2024
The Devil Made Me Do It!|Tyranena Brewing Co.|Porter - Imperial / Double Coffee|3.96 in 2024
Orange County Hefe|Hop Yard Ale Works|Wheat Beer - Hefeweizen|3.96 in 2024
Edel-Pils|New Glarus Brewing Company|Pilsner - Other|3.96 in 2024
Frühlingzeit Maibock|Delafield Brewhaus|Bock - Hell / Maibock / Lentebock|3.96 in 2024
Looper|District 1 Brewing Company|Wheat Beer - Witbier / Blanche|3.96 in 2024
Headless Heron|Central Waters Brewing Company|Spiced / Herbed Beer|3.96 in 2024
Oatmeal Stout|Stone Arch Brewpub|Stout - Oatmeal|3.96 in 2024
This Is What Space Smells Like|1840 Brewing Company|IPA - Sour|3.95 in 2024
Imperial Pineapple|Ciderboys Hard Cider|Cider - Applewine|3.95 in 2024
Flutternudder|Sawmill Brewing Company|Brown Ale - American|3.95 in 2024
Where the Sun Sinks Low|Sway Brewing + Blending|Lager - Helles|3.95 in 2024
Blueberry Train Wheat Ale|Tribute Brewing Company|Wheat Beer - Fruited|3.95 in 2024
Mile of Munich|Lion's Tail Brewing Company|Lager - Munich Dunkel|3.95 in 2024
Gray Wolf|Ahnapee Brewery|Lager - Vienna|3.94 in 2024
English Nut Brown Ale|Stone Arch Brewpub|Brown Ale - English|3.94 in 2024
Flight of the Nectaron|Hop Yard Ale Works|IPA - New Zealand|3.94 in 2024
Santa Rampage|Lowlands Brewing Collaborative|Winter Ale|3.94 in 2024
Sütterbräu|McFleshman's Brewing Company|Wheat Beer - Hefeweizen|3.94 in 2024
We Don’t Wanna Leaves Door County|Peach Barn Brewing|Festbier|3.94 in 2024
Boy with the Boot|District 1 Brewing Company|Wheat Beer - Fruited|3.94 in 2024
Schmoll Guy Honey Rye|District 1 Brewing Company|Rye Beer|3.94 in 2024
Scottish Ale|Stillmank Brewing Company|Scottish Ale|3.94 in 2024
Boy with the Boot|District 1 Brewing Company|Wheat Beer - Fruited|3.94 in 2024
Schmoll Guy Honey Rye|District 1 Brewing Company|Rye Beer|3.94 in 2024
Scottish Ale|Stillmank Brewing Company|Scottish Ale|3.94 in 2024
Coal Steamer|Craft Creek Brewing Co.|Altbier - Traditional|3.94 in 2024
Mad Bark|Ciderboys Hard Cider|Cider - Herbed / Spiced / Hopped|3.94 in 2024
Seven (Copper Anniversary Aged Ale)|Copper State Brewing Co.|Other|3.94 in 2024
Blood Moon|Stubborn Brothers Brewery|Wheat Beer - American Pale Wheat|3.93 in 2024
Foeder 18 Sour|Lowlands Brewing Collaborative|Sour - Flanders Red Ale|3.93 in 2024
Dubbel Diest|Giant Jones Brewing Company|Belgian Strong Golden Ale|3.93 in 2024
Defrostinator|Working Draft Beer Company|Bock - Hell / Maibock / Lentebock|3.93 in 2024
Far Fetched|Third Space Brewing|IPA - New Zealand|3.93 in 2024
JP’s Casper White Stout|Whole Hog Brewery|Stout - White / Golden|3.93 in 2024
Underground Cider: Midwest Apple|Badger State Brewing|Cider - Sweet|3.93 in 2024
Holla!|OOGA Brewing Company|Cream Ale|3.92 in 2024
Premium Kolsch|Lazy Monk Brewing|Kölsch|3.92 in 2024
Kid Kölsch (2024)|New Glarus Brewing Company|Kölsch|3.92 in 2024
Imperial Peach|Ciderboys Hard Cider|Cider - Applewine|3.92 in 2024
Friars On the Storm|Starkweather Brewing Company|Belgian Dubbel|3.92 in 2024
Kid Kölsch (2024)|New Glarus Brewing Company|Kölsch|3.92 in 2024
Imperial Peach|Ciderboys Hard Cider|Cider - Applewine|3.92 in 2024
Friars On the Storm|Starkweather Brewing Company|Belgian Dubbel|3.92 in 2024
